"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","1","ATMEGA32U4-AU-ND","ATMEGA32U4-AU","IC MCU 8BIT 32KB FLASH 44TQFP","","1","0","5.55000","5.55"
"2","10","311-22ARCT-ND","RC0805JR-0722RL","RES 22 OHM 5% 1/8W 0805","","10","0","0.02200","0.22"
"3","10","1276-1003-1-ND","CL21B104KBCNNNC","CAP CER 0.1UF 50V X7R 0805","","10","0","0.04400","0.44"
"4","1","455-1804-1-ND","SM04B-SRSS-TB(LF)(SN)","CONN HEADER SMD R/A 4POS 1MM","","1","0","0.59000","0.59"
"5","1","4809-SKQGADE010CT-ND","SKQGADE010","SWITCH TACT SPST-NO .05A 12VDC","","1","0","0.62000","0.62"
"6","2","1276-6455-1-ND","CL21A106KOQNNNG","CAP CER 10UF 16V X5R 0805","","2","0","0.10000","0.20"
"7","10","1276-1066-1-ND","CL21B105KAFNNNE","CAP CER 1UF 25V X7R 0805","","10","0","0.06500","0.65"
"8","10","1276-2605-1-ND","CL21C220JB61PNC","CAP CER 22PF 50V C0G/NP0 0805","","0","10","0.10500","1.05"
"9","20","1N4148WTPMSCT-ND","1N4148W-TP","DIODE GEN PURP 100V 150MA SOD123","","20","0","0.10600","2.12"
"10","10","RG20P10.0KBCT-ND","RG2012P-103-B-T5","RES SMD 10K OHM 0.1% 1/8W 0805","","10","0","0.26100","2.61"
"11","1","478-CX3225SB16000D0GZJC1CT-ND","CX3225SB16000D0GZJC1","CRYSTAL 16.0000MHZ 8PF SMD","","1","0","0.61000","0.61"